Subject,juice_likert,juice_intense,juice_encouragement,salt_likert,salt_intense,salt_encouragement,neutral_likert,neutral_intense,neutral_encouragement,juice1_motive,juice1_like,juice1_performance,juice1_encouragement,salt1_motive,salt1_like,salt1_performance,salt1_encouragement,neut1_motive,neut1_like,neut1_performance,neut1_encouragement,juice2_motive,juice2_like,juice2_performance,juice2_encouragement,salt2_motive,salt2_like,salt2_performance,salt2_encouragement,neut2_motive,neut2_like,neut2_performance,neut2_encouragement,juice4_motive,juice4_like,juice4_performance,juice4_encouragement,salt4_motive,salt4_like,salt4_performance,salt4_encouragement,neut4_performance,neut4_motive,neut4_like,neut4_encouragement,money_strat,liq_strat,money_motive,liq_motive,posttaskliquid_complete,pos_likert,pos_arousal,pos_encouragement,neg_likert,neg_arousal,neg_encouragement,soc_neut_likert,soc_neut_arousal,soc_neut_encouragement,pos1_motive,pos1_like,pos1_performance,pos1_encouragement,neg1_motive,neg1_like,neg1_performance,neg1_encouragement,soc_neut1_motive,soc_neut1_like,soc_neut1_performance,soc_neut1_encouragement,pos2_motive,pos2_like,pos2_performance,pos2_encouragement,neg2_motive,neg2_like,neg2_performance,neg2_encouragement,soc_neut2_motive,soc_neut2_like,soc_neut2_performance,soc_neut2_encouragement,pos4_motive,pos4_like,pos4_performance,pos4_encouragement,neg4_motive,neg4_like,neg4_performance,neg4_encouragement,soc_neut4_performance,soc_neut4_motive,soc_neut4_like,soc_neut4_encouragement,soc_money_strat,soc_strat,soc_money_motive,soc_motive,posttasksocial_complete,bisbas_rr1,bisbas_bis1,bisbas_d1,bisbas_bis2,bisbas_f1,bisbas_d2,bisbas_bis3,bisbas_rr2,bisbas_f2,bisbas_bis4,bisbas_f3,bisbas_rr3,bisbas_bis5_rev,bisbas_d3,bisbas_bis6,bisbas_f4,bisbas_d4,bisbas_bis7_rev,bisbas_rr4,bisbas_rr5,bisbas_complete,days_nonsoc_hobbies_desc,dars_hobby_1,dars_hobby_2,dars_hobby_3,dars_hobby_4,dars_food_desc,dars_food_5,dars_food_6,dars_food_7,dars_food_8,dars_social_desc,dars_social_9,dars_social_10,dars_social_11,dars_social_12,dars_sensory_desc,dars_sensory_13,dars_sensory_14,dars_sensory_15,dars_sensory_16,dars_sensory_17,dars_complete
116,7,5,6,1,7,1,3,4,4,7,7,7,7,1,1,1,1,2,3,3,4,7,7,7,7,1,1,1,1,4,3,4,4,7,7,7,7,3,1,2,1,5,5,4,4,"For the most part, I tried to ignore the dollar signs (unless it was saltwater - see response below).","With saltwater, I tried to focus on $$$$ trials and not the others, because it was a strong discourager, regardless of the extra money. Eventually, I just gave up, and tried to get correct answers, but not too quickly because yuck saltwater.",I tried not to pay attention to the difference in dollar signs in each trial.,"Neutral solution was bleh, didn't really affect anything. Saltwater completely unmotivated me. And surprisingly, I really enjoyed the juice trials and definitely was way more motivated and did great on that one.",2,6,2,6,2,3,1,4,1,4,4,5,5,6,6,1,4,3,3,4,5,4,4,5,5,6,6,1,4,3,3,4,5,4,4,5,5,6,6,1,4,3,3,4,5,4,I tried not to pay attention to the dollar signs.,None.,"A little more motivated with more dollar signs, but again, I tried mostly to ignore it so it wouldn't be a distraction.","Definitely more motivated on negative feedback, least motivated in neutral. Negative feedback made me want to do better (proving it didn't affect me, etc.).",2,5,4,2,5,2,3,5,4,2,5,1,4,5,3,5,1,2,4,4,4,2,Reading; piano,4,4,4,4,macaroni and cheese; hot tea,3,4,4,2,going to a museum/the zoo; bowling,3,2,3,2,smelling flowers; smelling and using lotion,4,3,3,4,4,2
117,6,5,4,2,7,6,7,4,4,5,5,5,5,5,3,4,2,6,6,6,4,6,6,5,5,6,4,4,2,6,6,6,6,7,7,5,7,7,2,5,2,7,7,7,5,no,no,i was more motivated in the $$$$ trials because i want more money,i was less motivated with the saltwater because it was gross,2,7,5,6,2,7,7,4,4,4,7,6,5,5,7,5,5,5,7,6,5,6,7,6,5,5,7,6,6,4,7,6,5,5,7,6,6,7,7,6,5,7,7,6,6,7,No,no,i was most motivated on the $$$$ trials,i was more motivated during the positive trials,2,5,4,3,5,5,3,3,5,3,5,4,4,5,2,5,5,2,5,5,3,2,listening to music and reading,4,4,4,4,chinese food and pineapple soda,3,4,4,4,partying and having discussions,4,4,2,3,taste and sight,4,4,4,4,4,2
118,6,5,6,1,7,2,2,5,3,5,6,6,6,4,1,4,3,4,3,5,4,6,6,5,6,4,1,4,2,5,4,5,4,7,7,5,6,5,1,4,3,4,5,3,4,I fidgited more on the $$$$ and it made me click the wrong answer more often.,"No, but I sometimes really didn't want to get the answer right on the saltwater liquid feedback.","I was less motivated for the $ trials, but I still tried pretty hard.",I was definitely less motivated for both the saltwater and water trials.,2,2,1,4,2,1,3,1,1,4,3,4,4,4,3,4,4,4,3,3,4,3,5,4,5,5,5,4,5,5,4,3,5,5,6,5,5,5,6,4,5,4,5,4,5,4,I was a lot more on edge during the $$$$ trials; sometimes this would result in accidentally pressing the wrong key because I am so alert.,No.,I was more motivated for the $$$$; I always perked up a bit more when I saw the $$$$ symbol.,No.,2,5,4,4,3,3,5,3,5,3,3,1,4,4,5,4,2,4,3,5,5,2,Taking walks and playing piano,3,2,3,3,Tomato and eggs and ice cream,4,4,4,3,Watching movies and going on drives,3,3,4,2,Smelling the ocean breeze/feeling the rain on my face,4,4,4,4,4,2
120,7,5,7,1,7,1,3,5,2,7,5,6,7,1,1,2,1,2,1,1,1,7,7,7,7,1,1,2,1,2,1,1,1,7,7,7,7,1,1,2,1,5,3,2,5,"For $$$$ trials, I was more alert and more attentive than for others. ","I tried to get everything correct for the juice feedback.  For the saltwater, I tried to avoid getting any feedback as much as possible and only tried to answer correctly once in a while.  For the neutral solution, I only tried to answer the $$$$ trials.","I was much more motivated on the $$$$ trials than for any other trial, except in the saltwater solution.  I wanted to make sure I got the maximum amount of $$$$ correct.","I was very unmotivated by the saltwater and tried to avoid it as much as possible.  The juice motivated me to get everything correct.  The neutral solution also unmotivated me, but I was fine with answering the $$$$ questions.",2,5,2,4,1,1,1,4,1,4,2,3,5,3,2,2,4,2,4,4,4,3,5,5,4,4,3,3,4,2,4,4,3,4,7,7,5,7,7,7,4,7,5,7,7,7,I was much more attentive during the $$$$ trials and the $$ trials.  I also spoke out loud whether it was letter or number to make sure I enhanced accuracy.,I ignored the negative feedback by looking away from the screen and zoning out.,I was much more motivated on the $$$$ trials and was more alert and attentive.,No.,2,5,3,4,5,2,4,3,5,2,4,3,5,5,3,4,4,2,5,5,5,2,"Guitar, basketball",4,3,4,4,"pizza, pho",4,4,4,4,"concerts, watch movies",4,2,3,3,"taste, hearing",3,3,4,4,3,2
121,7,6,7,1,7,1,5,2,5,7,7,7,7,3,2,2,2,4,5,4,5,7,7,7,7,1,1,3,3,5,5,5,4,7,7,7,7,5,5,3,3,5,5,5,5,"Overall, I didn't notice too much between $ and $$, but when $$$$ showed up I tended to try and pay attention more.","Overall, the juice feedback was very encouraging. I tended to be more alert and upright during the juice trial. ",I was more motivated for the $$$$ and equally motivated for $ and $$.,"I was less motivated for saltwater, more motivated for juice, and slightly motivated for water. ",2,3,3,4,4,3,5,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,3,7,7,7,3,7,2,7,7,7,"For the most part, in the social experiment compared to the juice trials I noticed the number of $ less.",I did not actively use any different strategies.,Typically I had more motivation on $$$$ trials,"I don't know if this counts as motivation, but it was easier to pay attention to the trials and stay awake/not drift off to sleep with the social feedback trials. ",2,5,3,4,5,4,5,3,5,2,5,3,5,4,5,5,4,4,5,5,5,2,"Watching Netflix, Playing instruments",4,4,4,4,"Pizza, Chinese Food",4,4,4,4,"Going out to eat, Hanging out with friends",4,4,3,4,"Drinking hot tea, Smelling perfume",3,2,3,3,2,2
126,7,4,7,1,4,2,4,2,5,6,4,4,4,4,1,6,2,4,4,4,4,6,6,5,6,4,1,6,5,4,4,4,4,7,7,5,7,6,1,6,4,4,4,4,4,"I didn't notice the dollar signs, so I didn't have a strategy.",I did not use any different strategies.,"No, because I didn't notice them.",I was actually happy when I got a trial wrong on the saltwater experiment because I did not like the taste. That was not true for the other two experiments.,2,4,4,4,4,6,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,No.,No.,I didn't notice the sign.,I was more motivated during the negative trials because I thought they were funny.,2,5,5,3,5,5,3,5,5,3,5,2,5,5,2,5,3,3,4,5,4,2,Watching TV and Writing,4,4,4,4,Sprite and Pasta,3,4,4,4,Theatre and Going to Parties,4,3,0,2,Sleeping and Eating,4,4,4,4,4,2
129,6,6,5,2,7,2,4,4,4,4,4,4,4,1,1,3,1,3,3,3,3,5,5,5,5,2,2,4,2,4,4,4,4,6,5,3,6,3,2,4,2,5,5,5,5,I did not.,I really did not like the saltwater task so I don't think I tried has hard on that task.,No.,I was less motivated for the saltwater task.,2,6,4,6,2,5,2,4,4,4,7,6,3,5,4,3,2,2,4,4,4,4,5,5,4,5,5,3,3,3,5,5,5,5,6,6,2,6,6,3,2,3,6,6,6,6,I tried to focus more on the trials that were worth more money.,No.,I was more motivated for the trials that were worth more money.,No.,2,5,4,4,4,3,3,4,4,4,4,2,4,4,2,4,4,2,4,4,3,2,Reading and watching netflix,3,3,3,3,Rice and chocolate,3,3,3,3,Going out and seeing a a movie,3,3,3,3,Watching a movie and hugging someone,3,3,3,3,3,2
130,5,5,5,1,6,1,7,1,4,2,3,4,2,1,1,2,2,7,5,5,5,6,5,4,4,2,1,3,2,7,5,5,5,6,6,5,6,5,1,4,2,5,7,7,6,"If I had messed up a few trials and the next was a $$$$, I found myself attempting to refocus given the higher reward. For $ trials, especially on saltwater, I was almost relieved if I didn't receive liquid feedback.",N/A,"I think I was overall more motivated on $$$$. It wasn't an intentional strategy, but the $$$$ would act as an alert the more fatigued I got through the experiment.","I was definitely less motivated by the saltwater, because the I strongly disliked the taste. Between juice and neutral, I didn't find either to be more motivating than one another, but more motivating than the saltwater condition.",2,5,2,4,2,4,3,4,1,4,5,4,5,5,5,3,4,5,5,3,4,4,6,4,5,5,5,2,4,4,5,3,5,5,6,5,5,6,6,3,6,6,5,6,6,6,"I was more focused on the different in the attention classification for these blocks, and often found myself unaware of the $ value distribution for each trial.","With negative feedback, I often would repeat the button conditions (even/consonant for 3, odd/vowel for 4) during the feedback which made it less distracting. For positive and neutral, I did not use any particular strategy.","For the select trials that I was aware of the $ classification, I was more motivated by the $$$$ as it was worth more. But overall, I don't think my motivation differed greatly.","I was more motivated for negative feedback, as getting the right answer seemed almost like counteracting the negative statements.",2,4,4,3,4,5,3,4,5,4,5,4,4,4,3,4,5,2,3,4,3,2,"listening to music, watching TV",4,4,4,4,"sushi, pasta",4,4,4,4,"eating at restaurants, going to the movies",4,4,3,4,"taste, smell",3,2,3,3,2,2
131,5,4,5,1,6,3,2,4,2,5,5,6,4,6,1,6,3,3,2,6,4,6,6,6,6,5,2,5,5,5,2,6,5,5,6,5,4,5,1,5,5,6,5,4,4,not really,not really,"compared to last week, after I realized that each $ is only worth a cent, I became less motivated and serious. ",not really,2,7,6,6,7,2,7,2,1,1,7,7,6,6,7,7,7,7,7,7,6,4,7,7,6,6,7,7,7,7,7,7,6,2,7,7,4,6,7,7,5,7,5,7,7,6,not really,not really,not really,not really,2,5,3,4,4,5,4,1,5,3,1,3,5,4,3,5,4,4,2,5,5,2,"listen to music, watch movies",4,4,4,4,"steak, sushi",4,4,4,3,"hang out, poker",4,2,3,3,"eating, listening to music",4,4,3,4,4,2
133,7,5,7,3,6,2,3,4,3,6,7,5,6,3,3,5,2,4,6,5,5,7,7,5,7,4,3,5,2,5,4,5,5,7,7,6,7,6,4,5,4,5,6,6,5,No,"I tried to swallow the saltwater all at once, so that the taste didn't linger longer than it had to. ",I suppose I was slightly more motivated on the $$$$ trials.,I was so much more motivated in the juice trials (I also just genuinely love apple juice). ,2,5,1,6,2,1,6,3,1,4,5,7,6,6,4,2,3,2,4,5,4,3,5,6,5,6,5,3,3,2,5,5,5,4,7,7,5,7,6,3,5,3,5,5,5,3,"I especially tried to focus on the $$$$ trials, but beyond that, no.",I tried to remind myself of my capabilities during the negative feedback especially.,I was more motivated during the $$$$ trials because there was more at stake. ,"Yes, during the negative feedback I was less motivated because I knew getting a correct answer would require being insulted/receiving negative feedback and I disliked that. ",2,4,5,4,5,3,3,5,4,2,5,1,5,5,4,4,1,2,5,3,2,2,Dancing; Listening to music,4,4,4,4,Korean bbq; cookies and cream milkshakes,4,4,4,4,Playing board games; video chatting with friends,4,3,3,3,Listening to music; Walking in nature; Smelling candles,4,3,4,4,4,2
134,3,3,2,3,2,2,3,1,2,4,4,4,5,4,4,4,5,4,4,4,5,5,5,4,6,5,5,4,6,5,5,4,6,7,7,4,7,7,7,4,7,7,7,4,7,I paid more attention as the number of $s increased.,no,"$, as the reward was less.",no,2,1,1,1,1,1,1,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,4,7,5,5,4,7,5,5,4,6,I was more focused as the no. of $s increased.,no,Less motivated on $ as the reward was less,No,2,5,2,4,2,4,3,2,5,4,4,4,5,3,4,5,NA,4,2,2,4,2,"Listening to music, watching cricket",4,4,4,4,"Chicken curry, pizza",4,4,4,4,"Hanging out with friends, partying",4,3,3,3,"Love, getting pumped",3,4,3,4,4,2
135,6,6,6,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,6,6,6,no,no,no,no,2,4,2,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,5,5,4,4,4,3,7,7,7,6,7,7,6,7,7,7,6,7,no,no,"more dollars signs, more motivated",no,2,4,4,5,5,5,5,3,3,3,3,3,3,2,3,3,3,4,3,4,5,2,Taking photos,3,3,3,3,noodles,2,2,2,2,party,2,2,1,2,warm weather,2,2,2,2,2,2
136,2,2,1,1,1,1,3,3,1,2,3,4,2,1,1,1,1,5,4,4,2,4,4,3,3,1,1,3,1,6,5,4,2,3,3,4,3,2,2,2,2,4,7,7,5,,,more motivated with money,less with salt. hard time swallowing,2,3,2,6,5,2,4,4,4,4,4,4,5,5,4,3,4,3,4,4,3,3,5,5,5,5,5,5,4,1,5,5,4,4,7,6,3,2,7,7,7,3,7,5,5,4,,,,,2,5,2,4,3,5,3,3,4,4,3,3,3,3,4,1,3,NA,3,5,4,2,planner. reading,4,4,4,4,sushi. cake,2,4,2,1,"chatting with friends, studying together",3,4,3,4,hearing. sight,3,2,3,4,4,2
