subID,RecordedDate,Duration (in seconds),HappyFace_Valence,HappyFace_Arousal,SadFace_Valence,SadFace_Arousal,NeutralFace_Valence,NeutralFace_Arousal,HappyFace_1Motivation,HappyFace_1Liking,HappyFace_1Performance,SadFace_1Motivation,SadFace_1Liking,SadFace_1Performance,NeutFace_1Motivation,NeutFace_1Liking,NeutFace_1Performance,HappyFace_2Motivation,HappyFace_2Liking,HappyFace_2Performance,SadFace_2Motivation,SadFace_2Liking,SadFace_2Performance,NeutFace_2Motivation,NeutFace_2Liking,NeutFace_2Performance,HappyFace_4Motivation,HappyFace_4Liking,HappyFace_4Performance,SadFace_4Motivation,SadFace_4Liking,SadFace_4Performance,NeutFace_4Motivation,NeutFace_4Liking,NeutFace_4Performance,Social_Strategy,Social_Motivation,Money_StrategySocial,Money_StrategySocial
14,5/2/17 13:56,155,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,no different strategies,more motivated with happier faces because it felt like they were cheering me on,no different strategies,same motivation for all amounts 
15,5/30/17 15:05,244,5,3,3,1,4,3,3,4,4,3,2,4,2,3,3,5,4,7,5,4,7,5,4,6,7,6,5,6,5,5,7,5,5,No,I didn't like the sad faces so I was a bit less motivated on those trials. ,No,"I was more motivated on the""$$$$"" trials because I could get more money."
16,6/1/17 13:36,167,5,4,4,4,4,4,6,4,6,6,4,6,6,4,6,6,4,5,6,4,5,6,4,5,7,4,5,7,4,5,7,4,5,,,,
17,6/1/17 18:34,89,4,4,4,4,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,6,6,4,6,6,4,6,6,4,no,no,no,$$$$ more money = more motivation
18,6/5/17 14:31,237,4,1,2,1,3,1,1,7,5,1,5,5,1,5,5,3,6,5,3,4,5,3,5,5,7,7,4,7,7,4,7,7,4,"Not at all, I just thought, left is even or I thought left is vowel.",nope,tried to be more focused in on $$$$ trials by repeating my rule of left is even or left is vowel so I'd be prepared right before,"less motivated on $, more so as more $"
19,6/8/17 14:47,195,5,2,3,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,6,5,5,7,7,6,7,7,6,"No, I used the same strategy for all","No, the social feedback did not affect my motivation level.","No, I did not use any different strategies.","I was more motivated on the $$$$ trial, because there was a higher monetary reward. "
20,6/8/17 17:38,258,6,4,3,4,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,No,Not really,Tried focusing more for the more expensive trials,More motivated for higher dollar amounts
21,6/13/17 14:45,169,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,6,5,4,5,4,4,5,4,No.,Not really although the happy faces might've aroused me a bit more and made me focus more.,No.,"I was equally motivated for the ""$"" and ""$$"" trials and more motivated for the ""$$$$"" trials."
23,6/15/17 19:24,344,6,6,4,4,4,4,7,7,6,5,5,6,6,6,6,7,6,6,5,5,6,5,5,6,7,7,6,5,5,6,5,5,6,No i did not,"no i was not
The happy Faces just kind of had me pause at times",No,Lol yes i was
22,6/20/17 14:40,380,6,4,4,4,4,3,3,4,5,5,5,5,4,4,5,4,4,5,5,5,6,4,4,5,5,5,4,5,4,5,5,4,5,"No, same strategies.","I received the Sad Face feedback first, and so I was pretty interested in examining the face stimuli (e.g., looking at different face shapes, hair, the fact that they were all wearing a gray shirt, etc.). By the the time that the other face stimuli (happy, neutral) came around, the feedback was no longer novel to me and it did not make me any more or less motivated.","I tried to concentrate more on $$$$ trials, but that ended up making me think too much about them and I missed more of those than I did the others that I cared less about (at least, that is how it felt). ","I was motivated to get all trials correct, however, I did experience more motivation for $$$$ trials compared to the others."
26,6/24/17 14:39,155,4,3,4,3,4,3,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,6,1,5,6,1,5,6,1,5,No - I barely noticed that the faces were different.,No,"I think I tried a little harder on the $$$$ trials, focused more",More motivated by the $$$$ trials. Really didn't noticed the difference between the $$ and $ trials.
29,6/26/17 13:14,214,4,5,2,2,3,3,5,5,4,5,5,6,4,4,6,5,5,2,5,5,5,4,4,4,7,6,2,7,6,6,5,5,6,"no, no change just did the task",not particularly,"no, i tried to keep focus throughout",stayed motivated throught
25,6/27/17 12:05,236,5,2,3,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,"No, although some of the sad faces were actually a bit comical or overly dramatic, so I was distracted when I laughed.",No.,No.,"I think by this point, I began to notice when there were more $ signs above a trial, so I was more interested in doing well to get those right. Maybe my brain was subconsciously influenced by that in the liquid trials, too, and I just hadn't been aware of it yet!"
28,6/27/17 15:22,437,4,4,3,4,7,4,7,5,7,4,4,4,4,4,7,4,4,7,4,4,7,4,4,7,7,7,7,4,4,7,4,4,7,i just took it at a normal pace.,n/a,no,n/a
31,7/6/17 20:55,77,3,1,1,1,1,1,2,2,3,2,1,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,,,,
30,7/11/17 10:42,241,3,3,3,1,3,3,3,3,4,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,5,5,5,4,3,3,no,"More motivated by the dollar sign the more i got correct either happy face, neutral face or sad face at long as I got a face I was fine.",No,Didn't really matter which dollar sign popped up 
35,7/11/17 15:54,326,5,4,3,3,5,5,6,6,6,5,4,5,6,6,5,6,6,5,4,3,5,5,5,6,7,7,6,4,3,5,6,6,6,no other strategies.,i was not moved by the faces it seemed as there was no time to even give a thought to the faces.,no other strategies.,i stayed neutral.
37,7/13/17 11:19,209,5,2,1,1,4,4,7,7,6,7,7,6,7,7,6,7,6,6,6,6,6,6,6,6,7,7,7,7,7,6,7,7,7,No.,Happy faces just have a positive feel,"The $$$$ I paid more close attention, more money equals more attention!",Yes and no.  The more $$$$ made me pay closer attention however I wanted to get them all correct no matter the $ sign. 
36,7/13/17 15:51,139,7,2,4,2,4,2,6,5,3,7,6,3,7,6,3,7,4,3,7,4,3,7,5,3,7,6,3,7,5,3,7,5,3,"No different strategies, just tried to always do my best",NO,"no, but I had a hard time keeping focus in the end",no
34,7/13/17 19:41,549,5,3,3,5,2,4,5,5,5,5,5,6,5,5,4,5,5,5,5,5,4,5,5,4,6,5,5,6,5,4,6,5,4,"The sad faces were more distracting, so i had to refocus more after each one. ",i was more bored during the neutral faces,i cheered myself on more when there were $$$$,more motivated with $$$$
40,7/18/17 11:50,285,5,6,3,5,4,4,5,5,5,5,4,5,5,5,5,6,5,5,6,5,5,6,5,5,7,6,5,7,5,5,7,6,5,no,no,I tried to focus more on the trials worth more money,a little less motivated on the trials worth less
33,7/18/17 19:13,339,5,1,3,6,4,4,5,5,7,5,2,7,5,6,7,6,6,7,6,2,6,6,4,7,7,7,7,7,7,5,7,6,7,NO,Yes. I was more motivated with the happy face.,No,I was more motivated for the $$ and $$$$ trials. I was the most motivated on the $$$$ trials.
27,7/20/17 11:10,217,4,3,3,2,4,3,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,4,4,6,4,4,"No,  I was focused on the next task. ","No, the faces did not motivate me. Getting the answers right is what motivated me. ",I think I concentrated more when I say more $.,The $$$$ were more motivating. 
39,7/20/17 16:17,244,6,6,7,1,5,4,5,5,4,1,3,2,6,4,4,7,5,4,2,2,2,7,4,4,7,7,4,7,4,3,7,7,4,No,"I was less motivated by the sad faces and neutral faces, but the Happy faces kept me wanting to answer the questions and also knowing that was the last one got me back on a roll to answer the questions",no,nio
38,7/20/17 19:24,550,6,5,2,2,2,2,2,4,3,2,4,3,2,4,2,3,4,3,2,4,3,3,4,2,7,5,6,7,6,6,7,6,6,I don't believe that the faces had much of an impact on my strategy or method for entering the correct button. ,"I don't believe the faces impacted my motivation. I knew what was coming depending on what category/phase I was on. If anything, I was more motivated to see a face at all because I knew that meant I had accomplished the task of beating my previous time.","One of my strategies was to see the number/letter flash then look away from the screen for a moment and repeat to myself the sequence. Even/Odd or Consonant/Vowel depending on which, so it was fresh in my mind. This was the strategy I used with each sequence no matter what face was going to follow. It was the dollar signs that I was more interested in. ",I absolutely was more interested and motivated when I saw $$$$ compared to $ or $$. I would see $$$$ and focus more and use my strategy to be focused specifically when $$$$ showed up.
43,7/24/17 15:55,285,6,4,4,4,6,5,7,6,5,7,6,6,7,6,5,7,6,6,7,6,5,7,6,5,7,6,6,7,6,5,7,6,5,Rather than trying to feel empathetic towards the faces I just tried to pretend what they might be saying in a humorous way regarding how good or bad I was doing.,I was more motivated that the trial was almost over. :-),Yes. I tried to make it a point to focus harder on the $$$$ trials.,I was really more motivated by the prospect of knowing how far along I was.
45,7/25/17 10:51,213,5,4,3,3,3,3,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,5,4,5,5,4,5,5,4,5,No,No,"At first, I tried to answer the ""$$$$"" trials faster... but my accuracy went down and so I started to try and ignore them a bit.",$$$$ just because it was more significant
47,7/25/17 15:34,247,5,4,3,4,4,4,5,6,7,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,6,6,7,6,6,6,6,6,7,No,"I was slightly more motivated on the happy faces, because they made me want to get the answers right","on the $$$$ trials I repeated ""3 is even, 4 is odd"" or ""aeiou is 4, anything else is 3"" when appropriate",I was more motivated on $$$$ as it is presumably 4 times the worth of $
49,8/4/17 15:54,517,7,7,6,6,6,6,4,5,6,4,5,5,4,5,5,6,6,6,6,6,6,6,6,6,7,7,6,7,7,6,7,7,6,"No strategies, I just enjoyed seeing the different expressions. ","The Happy and Neutral faces were a bit more motivating.  I was not any less motivated by the sad face, in fact, the sad faces sort of made me giggle inside. ","For all dollar signs, I used this strategy: 

When I saw the words ""Number"" - I repeated in my head, (2,4,6,8)
When I saw the words ""Letter"" - I repeated, in my head, (A,E,I,O,U)

But I did notice paying more close attention to the ""$$$$"" rather than the rest. ",None
54,8/8/17 16:33,392,6,5,4,3,4,4,5,5,4,5,5,3,7,6,6,5,6,4,6,5,4,7,5,6,6,6,5,6,5,3,7,7,7,The happy faces were a little distracting. But I found the neutral faces motivating because I felt I was competing against them.,I don't believe so but I did start to zone out more during the sad faces.,The same as before but this time I was a little more patient with myself. ,$$$$ during the neutral faces seemed to be where I was most motivated.
46,8/8/17 19:04,221,5,4,6,6,2,4,4,4,4,5,6,4,5,5,4,5,5,4,6,6,5,5,4,4,6,5,5,6,6,5,5,5,5,None,More motivated for sad and neutral faces,"Pay more attention with $$$$, but if failed a $$$$ trail, tried to do better on the $ and $$ trials to compensate",Somewhat more motivated with $$$$ trials than the others
51,8/12/17 14:05,314,6,5,2,2,3,3,6,6,6,5,5,5,5,5,5,7,6,6,6,5,6,6,6,6,7,7,6,7,6,6,7,6,6,Same strategy for all.,I focused less on the sad faces and tried to ignore them. I seemed to mirror the emotions presented occasionally.,Same strategy for all.,"More motivate for more ""$$$$"", but it felt nice to know I was still making more money getting the ""$"" questions right."
53,8/12/17 16:39,270,5,3,3,2,5,2,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,6,4,5,6,4,5,6,4,5,I did not,neither more nor less motivated by the faces,i did not,"i felt more motivated for the $$$$, and focused on getting a correct answer on those"
58,8/14/17 12:17,272,5,5,4,4,4,4,4,4,4,4,4,6,4,4,5,5,5,4,5,5,4,5,5,4,7,7,5,7,7,5,7,7,5,na,I did perk up a bit when I seen the happy faces,"I was starting to get tired and making more mistakes and having a slower response time, however when the $$$$ came along I sat up and started to wake myself up so I could make the extra money.",Definitely more motivated on the $$$$
59,8/14/17 15:53,166,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,no,it did not make a difference to me.,i focused more on the $$$$ trials.,more motivated on the $$$$ trials
56,8/14/17 19:09,304,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,No,Happy face was a little more motivating,I tend to focus more on the $$$$,Yes on the $$$$ because it was worth more and it seems a little more challenging with the stakes are higher.
44,8/17/17 12:50,94,1,1,1,1,1,1,7,7,4,1,1,1,1,1,1,1,6,1,1,3,3,2,4,2,5,3,4,4,3,4,3,4,7,no,less,no,more
55,8/17/17 15:17,270,4,3,3,2,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,6,5,5,i used the same strategy for all of the faces,i think the sad faces were slightly discouraging,i used the same on all of the $ amounts,i don't think so. i aimed to get all of the questions right regardless.
57,8/17/17 20:16,324,7,7,3,1,4,3,7,7,6,7,5,5,5,5,5,7,6,5,7,6,5,6,6,5,7,7,5,7,7,5,7,7,5,Of course I wanted to see the happy face. I found myself agitated with myself when I got NO face at all.,I was not motivated one way or the other about the different faces. I payed more attention to the $$$$.,"No different strategies, but I did find myself trying harder on the $$$$. ",I guess I would say that I was more motivated on the smiles. 
60,8/28/17 18:33,484,7,6,6,7,6,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,6,"No, but it was refreshing to see a happy face.",The different faces had little impact on my motivation,"Yes, the higher the $$$$ sign the likely the higher my adrenaline goes","Not applicable, all trials were equally important to me as long as there was $ assigned."
62,9/8/17 16:43,204,5,5,4,4,4,4,5,4,5,4,4,4,4,4,4,6,6,5,5,4,4,5,4,4,7,6,5,6,4,4,6,4,4,N/A,"Yes, happy faces were surprisingly more pleasant, thus more motivating to do.",Focused in more for trials with greater earning potential.,"Yes, motivation: $$$$&gt;$$&gt;$"
63,9/12/17 19:50,368,5,5,3,3,4,4,4,5,5,4,4,4,4,3,2,5,5,5,4,3,4,4,4,3,5,5,5,4,3,4,4,3,3,no,I was more motivated to receive the HAPPY FACES because it made the task more enjoyable.,no,"Yes, tried to concentrate harder on the $$$$ task"
66,9/22/17 17:07,198,7,7,3,3,4,4,7,7,7,4,4,4,5,5,5,7,7,7,4,4,4,5,5,5,7,7,7,4,4,4,5,5,5,N/A,I was more motivated with the happy faces because it made me feel more rewarded when I got it correctly and it was a happy face rather than a sad or neutral. ,N/A,I tried to do my best for each but maybe tried harder to get the $$$$ questions correct. 
68,9/26/17 19:47,382,6,1,3,2,3,3,4,1,3,4,1,3,4,1,3,5,1,4,5,1,4,5,1,4,7,1,6,7,1,6,7,1,6,No,No,"I tried to concentrate more on the $$$$ trials vs the $, $$.","I was more motivated on the ""$$$$"" type of trial. More dollar signs = more money return! "
65,9/29/17 18:51,159,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,none at all,none at all,none,none
70,10/2/17 17:17,316,6,4,4,5,1,2,5,4,3,6,6,5,3,1,3,5,4,4,6,6,4,4,1,3,7,6,3,7,7,4,6,4,3,No,"Yes, I was more motivated by the sad face but also way more unfocused.",No,I was equally motivated by the money signs. 
67,10/23/17 16:30,288,5,3,2,4,3,1,5,5,6,6,3,6,4,2,5,6,5,6,6,3,6,5,3,5,7,5,6,6,4,6,6,3,6,"on sad face, had to tell myself the sad face was not in response to my success. In happy face, tried to tell myself it was in response to success","Neutral face was the hardest for me to stay motivated (also the 3rd) but I think the lack of emotion in any form was harder to take, and the faces almost looked disapproving","Not normally, but every once in a while a $$$$ would kind of ""wake me up"" again and give me a bit of energy. With $ I tried to focus a little more I think to NOT decrease my score on those","Not normally, but every once in a while a $$$$ would kind of ""wake me up"" again and give me a bit of energy"
71,10/24/17 19:24,155,4,1,1,1,2,1,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,7,7,6,6,5,5,7,5,5,I did not use any different strategies based on the social feedback.,I was not any more motivated or less motivated based on the social feedback.,Just tried to concentrate as much as possible especially when there was more dollar signs. ,Always more motivated when you know there is more money at risk.
74,10/30/17 19:25,697,3,1,2,1,2,1,6,3,2,4,4,2,4,4,2,5,4,2,4,4,2,5,4,3,5,4,2,6,4,1,6,4,2,"Not really, at first I was a bit distracted by the faces.","I don't think I was particularly motivated, but I was distracted and started paying attention to the differences in the photos.",The only real difference I noticed was how it seemed easier to focus on the letter v. number when the $ signs were around the prompt.,"My motivation level was about the same, but it changed the layout of the ""attend ..."""
81,11/6/17 16:10,156,6,4,5,4,5,4,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,No,No - equally motivated,No,More motivated by $$$$ because I'd receive more money
82,11/20/17 15:26,600,7,3,3,2,5,4,7,7,6,5,3,6,4,4,5,7,7,6,5,3,5,4,4,5,7,7,6,5,3,6,6,5,6,"Yes, I tried to speed up with the happy faces and remain focused. ","Yes, I felt most motivated with happy faces and less with neutral and sad faces. ",For the $$$ trial I felt most motivated and excited. I tried to keep my focus laser sharp and pick up my pace. ,"No, not really. "
77,11/20/17 19:45,317,4,2,4,2,4,2,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,No. I kind of zoned the faces out after the first few. It seemed better the the overall strategy that in order to do well overall to just ignore anything that popped up in between.,"No. Again, I kind of just zoned out every face. (Except one kind of looks like Adam Driver maybe? That popped out...)",No. I tried to just ignore the dollar signs.  I tend to do less well on tasks if I focus on reward or punishment... it takes my focus away from the task at hand and can make me nervous.  So I just focused on the words of the test.,"No. I just kind of tried to stay focused on the words, and ignore the dollar signs."
80,11/27/17 15:31,450,7,3,2,1,3,3,4,6,5,6,5,5,6,6,5,4,5,5,4,5,5,4,5,5,6,6,5,6,6,5,6,6,5,No,No,"Yes.  I tried to do other activities at my desk (stretch, stand, turn, change positions) to wake my brain while waiting for the letter and number combination to appear.","Yes, the money was a bigger motivator than the type of face I may or may not see.  However, I am very competitive, so I was frustrated when I knew I was wrong (which usually occurred instantaneously)."
79,11/27/17 19:24,151,7,2,4,2,4,2,6,6,5,6,6,5,6,6,5,6,6,4,6,6,4,6,6,4,7,6,3,6,6,3,6,6,3,no different feedback. they were kind of all the same to me,not really. same motivation across all faces.,nope!,same motivation across all
83,12/8/17 16:20,329,6,5,3,5,5,3,7,5,5,7,5,5,7,5,5,7,5,5,7,5,5,7,5,5,7,7,7,7,7,7,7,7,7,No,No ,On the $$$$ trials I was more motivated and tried to focus more ,Less motivated for the $ trials because I was bored
85,2/21/18 16:55,474,6,5,2,3,3,3,7,6,5,7,6,4,7,6,4,7,6,5,7,6,4,7,6,4,7,6,5,7,6,4,7,6,4,"I used different strategies, but they were not based on the social feedback, they were based on the order in which I thought of trying them. (First strategy was repeating ""letter"" or ""number"" aloud or in my head so that I would focus on the correct item. The second strategy was, after seeing letter or number, saying aloud or in my head either ""2, 4, 6, 8"" or ""A, E, I, O, U"" to prepare myself for what to look for. ",No. ,No. ,No. 
86,2/28/18 18:06,244,6,4,5,4,5,5,6,6,6,6,6,6,6,6,6,7,7,6,6,6,5,6,6,5,7,7,5,7,7,6,7,7,5,No I just tried my best to keep up even though I found myself trying to draft away.,No. I kept my eyes on the prize.,I just tried to speed up when I seen the bigger prize but sometimes I was slow.,No it all was about the same in speed to be honest.
92,3/8/18 18:13,276,7,5,1,1,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,No,No,No,More motivated because I was more challenging.
87,3/22/18 16:47,244,5,3,4,3,4,4,4,4,6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,decided Sad and neutral was b/c I had won and they lost money,no,no,concentrated more on the $$$$
89,3/26/18 17:41,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,not motivational,not motivational,not motivational,not motivational
91,3/28/18 16:49,256,6,4,3,2,4,4,4,5,5,3,2,5,4,3,4,5,5,5,5,2,5,5,4,5,5,6,6,6,4,6,6,4,6,happy face seemed to help my focus by energizing me,"Yes, happy face gave energy, others made me feel sluggish",I paid closed attention to the prmpt (letter vs number) with $$$$ and tried to think ahead of the rules,"Yes, I was more motivated by the $$ and $$$$. But fatigue did set in towards the end."
96,4/2/18 19:46,197,6,4,5,4,5,4,6,6,5,6,6,5,6,5,4,6,5,4,6,5,5,6,5,5,6,6,5,6,6,4,6,6,5,"Just tried to concentrate so that they would appear, because some of them were amusing","Slightly more for happy and sad than neutral, I think",I tried to pay attention more to what the amounts were and focus more when they were higher,Possibly less motivated the lower the amount this time
98,4/11/18 17:10,206,5,4,3,5,3,2,2,4,3,2,4,3,3,4,3,4,4,4,4,4,4,3,4,4,6,5,5,6,6,5,6,6,5,No,No,No,More motivated for the $$$$ trial because there was more monetary gain
95,4/16/18 20:39,404,6,4,3,5,5,5,7,6,7,7,5,6,7,5,4,7,3,5,7,2,4,7,5,5,7,3,3,7,2,1,7,3,3,I tried to imagine that the sad faces were just negative voices in my head that should be ignored.,I felt more successful during the happy face block.,"I tried to convince myself that this trial was not worth any money and that they were just symbols. However, I still felt flustered by the $$$$ trials.",I felt more motivated on the $$$$ trials because the social feedback was less important to me than the monetary reward.
90,4/19/18 16:21,218,3,2,2,2,2,2,4,4,3,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,No,No,No,More for more $ - though not after a while into the block. 
102,4/23/18 17:47,165,6,2,4,3,5,5,5,5,5,3,2,3,6,6,7,5,4,5,5,6,5,6,6,7,7,7,7,5,6,5,7,7,7,I was motivated to just see the faces cause I was interested in what it looked like,I wanted to see more so I tried harder,No because I know I wasnt getting the money,no- wanted the cash so tried hard on all of them
100,4/30/18 19:54,181,4,1,3,1,4,1,4,5,5,4,5,5,4,6,5,5,6,6,4,5,5,4,5,5,5,5,6,4,5,5,4,5,5,Not really but felt that I was better during the happy face stage.,Happy faces felt more motivating.,I was more aware of the $$$$ during this phase and so was more alert when answering those questions.,I was more motivated during the $$$$ trial because I was more aware of them being there rather than focusing on the task.
99,5/2/18 19:11,163,5,2,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,no,the sad faces were generally more interesting,no,no
101,5/3/18 17:33,164,5,5,3,3,4,4,7,6,4,7,6,4,7,6,4,7,6,4,7,6,4,7,6,4,7,7,4,7,7,4,7,7,4,no,no,no,"$$$$, because equals more money."
